protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
ABD12_HUMAN_Q8N2K0,Monoacylglycerol lipase ABHD12 OS=Homo sapiens GN=ABHD12 PE=1 SV=2,NA,0.1279,NA,0.1037,NA,NA
S3TC2_HUMAN_Q8TF17,SH3 domain and tetratricopeptide repeat-containing protein 2 OS=Homo sapiens GN=SH3TC2 PE=1 SV=2,NA,0.0522,NA,NA,NA,NA
EPHB4_HUMAN_P54760,Ephrin type-B receptor 4 OS=Homo sapiens GN=EPHB4 PE=1 SV=2,NA,NA,0.4899,NA,NA,NA
STRN3_HUMAN_Q13033,Striatin-3 OS=Homo sapiens GN=STRN3 PE=1 SV=3,NA,0.1023,NA,NA,0.2335,NA
NCBP3_HUMAN_Q53F19,Nuclear cap-binding protein subunit 3 OS=Homo sapiens GN=NCBP3 PE=1 SV=2,NA,NA,NA,NA,NA,NA
B1AK87_HUMAN_B1AK87,Capping protein (Actin filament) muscle Z-line_ beta_ isoform CRA_a OS=Homo sapiens GN=CAPZB PE=1 SV=1,NA,NA,NA,NA,NA,NA
RHG06_HUMAN_O43182,Rho GTPase-activating protein 6 OS=Homo sapiens GN=ARHGAP6 PE=1 SV=3,NA,NA,NA,NA,NA,NA
RS23_HUMAN_P62266,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3,NA,NA,NA,NA,NA,NA
MOB1B_HUMAN_Q7L9L4,MOB kinase activator 1B OS=Homo sapiens GN=MOB1B PE=1 SV=3,NA,NA,NA,NA,0.2546,NA
IPO11_HUMAN_Q9UI26,Importin-11 OS=Homo sapiens GN=IPO11 PE=1 SV=1,NA,NA,NA,0.1372,NA,0.11
P4K2A_HUMAN_Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens GN=PI4K2A PE=1 SV=1,0.0988,NA,NA,NA,0.0772,0.0582
MYBB_HUMAN_P10244,Myb-related protein B OS=Homo sapiens GN=MYBL2 PE=1 SV=1,NA,NA,27.7314,NA,NA,NA
FANCM_HUMAN_Q8IYD8,Fanconi anemia group M protein OS=Homo sapiens GN=FANCM PE=1 SV=2,NA,NA,0.8714,1.3195,0.6541,NA
A0A1W2PR85_HUMAN_A0A1W2PR85,Synaptojanin-2 OS=Homo sapiens GN=SYNJ2 PE=4 SV=1,NA,NA,0.4887,NA,0.4324,NA
MTCH2_HUMAN_Q9Y6C9,Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1,NA,NA,NA,NA,0.1554,NA
SNX19_HUMAN_Q92543,Sorting nexin-19 OS=Homo sapiens GN=SNX19 PE=1 SV=2,NA,NA,NA,0.1148,NA,NA
DPOA2_HUMAN_Q14181,DNA polymerase alpha subunit B OS=Homo sapiens GN=POLA2 PE=1 SV=2,NA,0.1292,0.206,NA,NA,NA
GRIA2_HUMAN_P42262,Glutamate receptor 2 OS=Homo sapiens GN=GRIA2 PE=1 SV=3,NA,NA,1.7641,NA,0.1701,NA
CNDH2_HUMAN_Q6IBW4,Condensin-2 complex subunit H2 OS=Homo sapiens GN=NCAPH2 PE=1 SV=1,0.0683,NA,NA,NA,NA,NA
K1614_HUMAN_Q5VZ46,Uncharacterized protein KIAA1614 OS=Homo sapiens GN=KIAA1614 PE=2 SV=3,1.4877,NA,NA,0.5236,NA,NA
D6RAX2_HUMAN_D6RAX2,C-terminal-binding protein 1 (Fragment) OS=Homo sapiens GN=CTBP1 PE=1 SV=8,NA,0.0207,NA,0.0786,NA,NA
EDC3_HUMAN_Q96F86,Enhancer of mRNA-decapping protein 3 OS=Homo sapiens GN=EDC3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
BORC6_HUMAN_Q96GS4,BLOC-1-related complex subunit 6 OS=Homo sapiens GN=BORCS6 PE=1 SV=2,0.011,NA,NA,NA,0.0203,NA
P66B_HUMAN_Q8WXI9,Transcriptional repressor p66-beta OS=Homo sapiens GN=GATAD2B PE=1 SV=1,0.6596,NA,NA,NA,NA,NA
E7EQD7_HUMAN_E7EQD7,Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=1 SV=1,0.6747,NA,NA,NA,NA,NA
SET_HUMAN_Q01105,Protein SET OS=Homo sapiens GN=SET PE=1 SV=3,NA,NA,NA,NA,NA,NA
SMCE1_HUMAN_Q969G3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 PE=1 SV=2,NA,NA,NA,NA,0.1379,0.1511
NUDT4_HUMAN_Q9NZJ9,Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Homo sapiens GN=NUDT4 PE=1 SV=2,NA,NA,NA,NA,NA,NA
PFD3_HUMAN_P61758,Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=3,NA,NA,NA,0.152,NA,NA
YTHD3_HUMAN_Q7Z739,YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1,NA,NA,NA,0.1966,NA,NA
RL30_HUMAN_P62888,60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2,NA,NA,NA,NA,NA,0.2438
F8W8R3_HUMAN_F8W8R3,DNA polymerase delta subunit 2 OS=Homo sapiens GN=POLD2 PE=1 SV=1,NA,NA,NA,0.0469,NA,NA
A0A0A0MRR3_HUMAN_A0A0A0MRR3,Transcription initiation factor TFIID subunit 8 OS=Homo sapiens GN=TAF8 PE=1 SV=1,NA,NA,NA,0.0373,NA,NA
H0YA55_HUMAN_H0YA55,Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1,NA,NA,NA,NA,NA,NA
SPF27_HUMAN_O75934,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens GN=BCAS2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
P5CR2_HUMAN_Q96C36,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1,NA,0.0889,NA,0.1,NA,NA
GLE1_HUMAN_Q53GS7,Nucleoporin GLE1 OS=Homo sapiens GN=GLE1 PE=1 SV=2,NA,NA,0.0158,0.1821,NA,NA
KI21B_HUMAN_O75037,Kinesin-like protein KIF21B OS=Homo sapiens GN=KIF21B PE=1 SV=2,NA,NA,0.7787,NA,NA,NA
NFKB1_HUMAN_P19838,Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens GN=NFKB1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
MARK2_HUMAN_Q7KZI7,Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=1 SV=2,NA,0.1532,NA,0.0279,NA,NA
RL40_HUMAN_P62987,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2,NA,NA,NA,NA,0.0034,2.0155
E9PM17_HUMAN_E9PM17,Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=1 SV=1,NA,0.055,NA,0.0027,NA,NA
MPP9_HUMAN_Q99550,M-phase phosphoprotein 9 OS=Homo sapiens GN=MPHOSPH9 PE=1 SV=4,NA,NA,NA,NA,2.2292,0.2309
A0A087X2D0_HUMAN_A0A087X2D0,Serine/arginine-rich-splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1,0.2724,NA,NA,NA,NA,NA
AT11B_HUMAN_Q9Y2G3,Probable phospholipid-transporting ATPase IF OS=Homo sapiens GN=ATP11B PE=1 SV=2,NA,NA,NA,4.0196,NA,NA
CPSF2_HUMAN_Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens GN=CPSF2 PE=1 SV=2,NA,NA,NA,NA,NA,0.1735
SSH3_HUMAN_Q8TE77,Protein phosphatase Slingshot homolog 3 OS=Homo sapiens GN=SSH3 PE=1 SV=2,0.1128,NA,NA,0.0713,NA,NA
C9J5D1_HUMAN_C9J5D1,N-alpha-acetyltransferase 50 OS=Homo sapiens GN=NAA50 PE=1 SV=1,NA,NA,NA,NA,NA,NA
COPRS_HUMAN_Q9NQ92,Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens GN=COPRS PE=1 SV=3,NA,NA,NA,NA,NA,NA
DHX58_HUMAN_Q96C10,Probable ATP-dependent RNA helicase DHX58 OS=Homo sapiens GN=DHX58 PE=1 SV=1,NA,NA,NA,NA,0.0312,NA
DAG1_HUMAN_Q14118,Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2,0.1535,0.152,0.2507,NA,NA,NA
I3L2J8_HUMAN_I3L2J8,Centrosomal protein of 131 kDa OS=Homo sapiens GN=CEP131 PE=1 SV=1,1.0096,NA,NA,NA,NA,0.2499
I3L0X5_HUMAN_I3L0X5,Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=1,0.0535,NA,NA,NA,NA,0.0356
RB39B_HUMAN_Q96DA2,Ras-related protein Rab-39B OS=Homo sapiens GN=RAB39B PE=1 SV=1,NA,NA,NA,NA,NA,0.1622
B4DGL8_HUMAN_B4DGL8,ATP-binding cassette sub-family B member 7_ mitochondrial (Fragment) OS=Homo sapiens GN=ABCB7 PE=1 SV=1,NA,NA,NA,0.1302,0.1776,NA
MCCA_HUMAN_Q96RQ3,Methylcrotonoyl-CoA carboxylase subunit alpha_ mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=3,NA,NA,NA,NA,0.048,NA
PCCA_HUMAN_P05165,Propionyl-CoA carboxylase alpha chain_ mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=4,NA,NA,NA,NA,NA,0.202
BI2L1_HUMAN_Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2,0.2929,0.2075,NA,NA,0.2178,NA
M0QZQ3_HUMAN_M0QZQ3,Spectrin beta chain OS=Homo sapiens GN=SPTBN4 PE=1 SV=1,1.7326,5.781,NA,NA,NA,NA
LIMS1_HUMAN_P48059,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens GN=LIMS1 PE=1 SV=4,NA,NA,NA,NA,NA,NA
BICD2_HUMAN_Q8TD16,Protein bicaudal D homolog 2 OS=Homo sapiens GN=BICD2 PE=1 SV=1,NA,0.1457,NA,NA,NA,NA
DPYL4_HUMAN_O14531,Dihydropyrimidinase-related protein 4 OS=Homo sapiens GN=DPYSL4 PE=1 SV=2,NA,NA,NA,0.2653,0.2335,NA
EIF3H_HUMAN_O15372,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3H PE=1 SV=1,NA,NA,NA,NA,0.5362,0.3138
SF3B6_HUMAN_Q9Y3B4,Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1,NA,NA,NA,0.0892,NA,0.0807
TT21A_HUMAN_Q8NDW8,Tetratricopeptide repeat protein 21A OS=Homo sapiens GN=TTC21A PE=2 SV=3,NA,NA,NA,NA,NA,0.2331
TMED4_HUMAN_Q7Z7H5,Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4 PE=1 SV=1,NA,NA,NA,NA,NA,0.0292
CDKL5_HUMAN_O76039,Cyclin-dependent kinase-like 5 OS=Homo sapiens GN=CDKL5 PE=1 SV=1,NA,0.8231,0.6323,NA,0.0724,NA
RGS22_HUMAN_Q8NE09,Regulator of G-protein signaling 22 OS=Homo sapiens GN=RGS22 PE=1 SV=3,NA,NA,4.25,NA,NA,NA
CC129_HUMAN_Q6ZRS4,Coiled-coil domain-containing protein 129 OS=Homo sapiens GN=CCDC129 PE=2 SV=2,NA,NA,0.101,NA,NA,0.0898
F6QDS0_HUMAN_F6QDS0,HCG2043426_ isoform CRA_b OS=Homo sapiens GN=hCG_2043426 PE=1 SV=1,NA,0.0518,NA,NA,NA,NA
SCAPE_HUMAN_Q9BY12,S phase cyclin A-associated protein in the endoplasmic reticulum OS=Homo sapiens GN=SCAPER PE=1 SV=2,0.1828,NA,0.2923,NA,NA,NA
RASK_HUMAN_P01116,GTPase KRas OS=Homo sapiens GN=KRAS PE=1 SV=1,NA,NA,NA,NA,NA,NA
G3V256_HUMAN_G3V256,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens GN=ZC3H14 PE=1 SV=1,NA,0.6345,NA,NA,NA,NA
H0Y3C5_HUMAN_H0Y3C5,Tyrosine-protein kinase OS=Homo sapiens GN=HCK PE=1 SV=1,0.0146,NA,0.0061,NA,NA,NA
C19L1_HUMAN_Q69YN2,CWF19-like protein 1 OS=Homo sapiens GN=CWF19L1 PE=1 SV=2,0.1298,NA,NA,0.2399,NA,NA
CCHCR_HUMAN_Q8TD31,Coiled-coil alpha-helical rod protein 1 OS=Homo sapiens GN=CCHCR1 PE=1 SV=2,0.1226,NA,NA,1.2322,NA,NA
QRIC2_HUMAN_Q9H0J4,Glutamine-rich protein 2 OS=Homo sapiens GN=QRICH2 PE=1 SV=1,NA,NA,0.0756,NA,NA,NA
HYEP_HUMAN_P07099,Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1,NA,0.1778,NA,0.087,NA,0.0451
CFA61_HUMAN_Q8NHU2,Cilia- and flagella-associated protein 61 OS=Homo sapiens GN=CFAP61 PE=2 SV=3,0.2899,NA,NA,NA,NA,NA
MROH7_HUMAN_Q68CQ1,Maestro heat-like repeat-containing protein family member 7 OS=Homo sapiens GN=MROH7 PE=2 SV=4,NA,0.0601,NA,0.4745,NA,NA
A0A087X0B7_HUMAN_A0A087X0B7,Synaptosomal-associated protein 47 OS=Homo sapiens GN=SNAP47 PE=1 SV=1,NA,0.5866,NA,NA,0.0573,NA
M0QZK8_HUMAN_M0QZK8,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,NA,0.1242,NA,NA,NA,NA
TANC2_HUMAN_Q9HCD6,Protein TANC2 OS=Homo sapiens GN=TANC2 PE=1 SV=3,NA,NA,0.9656,NA,NA,NA
THG1_HUMAN_Q9NWX6,Probable tRNA(His) guanylyltransferase OS=Homo sapiens GN=THG1L PE=1 SV=2,NA,NA,NA,NA,NA,0.0403
GBP3_HUMAN_Q9H0R5,Guanylate-binding protein 3 OS=Homo sapiens GN=GBP3 PE=1 SV=3,NA,NA,NA,NA,NA,NA
A0A1B0GV06_HUMAN_A0A1B0GV06,Acid ceramidase (Fragment) OS=Homo sapiens GN=ASAH1 PE=1 SV=1,0.0471,NA,NA,NA,NA,0.0267
RBP10_HUMAN_Q6VN20,Ran-binding protein 10 OS=Homo sapiens GN=RANBP10 PE=1 SV=1,NA,NA,NA,NA,NA,NA
V9GYJ9_HUMAN_V9GYJ9,28S ribosomal protein S29_ mitochondrial (Fragment) OS=Homo sapiens GN=DAP3 PE=1 SV=8,0.1857,NA,NA,NA,NA,NA
E7ET40_HUMAN_E7ET40,Urokinase-type plasminogen activator OS=Homo sapiens GN=PLAU PE=1 SV=1,NA,NA,NA,NA,NA,NA
H0YD69_HUMAN_H0YD69,Microtubule-actin cross-linking factor 1_ isoforms 1/2/3/5 (Fragment) OS=Homo sapiens GN=MACF1 PE=1 SV=2,NA,0.2022,0.138,NA,NA,NA
H7C3H4_HUMAN_H7C3H4,Histone-lysine N-methyltransferase SETD2 (Fragment) OS=Homo sapiens GN=SETD2 PE=1 SV=1,0.223,NA,NA,NA,NA,NA
A0A087X142_HUMAN_A0A087X142,Septin-8 OS=Homo sapiens GN=SEPT8 PE=1 SV=1,0.0544,NA,NA,NA,NA,0.0314
ASXL3_HUMAN_Q9C0F0,Putative Polycomb group protein ASXL3 OS=Homo sapiens GN=ASXL3 PE=2 SV=3,1.2135,2.5847,NA,NA,NA,0.0567
SCAM1_HUMAN_O15126,Secretory carrier-associated membrane protein 1 OS=Homo sapiens GN=SCAMP1 PE=1 SV=2,0.0677,NA,NA,NA,NA,NA
DDX52_HUMAN_Q9Y2R4,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3,NA,NA,NA,NA,0.171,0.121
HEAT3_HUMAN_Q7Z4Q2,HEAT repeat-containing protein 3 OS=Homo sapiens GN=HEATR3 PE=1 SV=2,NA,0.3984,NA,NA,NA,NA
DHX8_HUMAN_Q14562,ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1,NA,NA,0.1585,NA,0.1197,NA
M0QZR8_HUMAN_M0QZR8,DNA polymerase OS=Homo sapiens GN=POLD1 PE=1 SV=1,NA,NA,NA,NA,0.2729,NA
A6NF31_HUMAN_A6NF31,Oral-facial-digital syndrome 1 protein OS=Homo sapiens GN=OFD1 PE=1 SV=1,1.4555,NA,NA,1.5198,1.6818,NA
ICE2_HUMAN_Q659A1,Little elongation complex subunit 2 OS=Homo sapiens GN=ICE2 PE=1 SV=2,0.0204,NA,NA,NA,NA,NA
ZNT7_HUMAN_Q8NEW0,Zinc transporter 7 OS=Homo sapiens GN=SLC30A7 PE=2 SV=1,NA,NA,0.0942,NA,NA,NA
PDPR_HUMAN_Q8NCN5,Pyruvate dehydrogenase phosphatase regulatory subunit_ mitochondrial OS=Homo sapiens GN=PDPR PE=1 SV=2,NA,NA,NA,0.1324,0.1045,NA
A0A0C4DGA2_HUMAN_A0A0C4DGA2,Enoyl-CoA delta isomerase 2_ mitochondrial OS=Homo sapiens GN=ECI2 PE=1 SV=1,0.1865,NA,NA,NA,0.1959,NA
LYPA2_HUMAN_O95372,Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,NA,0.0981,NA,0.053900000000000003,NA,NA
H0Y7Y5_HUMAN_H0Y7Y5,Protein MROH8 (Fragment) OS=Homo sapiens GN=MROH8 PE=1 SV=1,NA,NA,0.5815,NA,NA,NA
F5H2R5_HUMAN_F5H2R5,Rho GDP-dissociation inhibitor 2 (Fragment) OS=Homo sapiens GN=ARHGDIB PE=1 SV=1,NA,0.0343,0.025,NA,NA,NA
P4R3A_HUMAN_Q6IN85,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=PPP4R3A PE=1 SV=1,NA,0.1336,0.3766,NA,0.1124,NA
SLU7_HUMAN_O95391,Pre-mRNA-splicing factor SLU7 OS=Homo sapiens GN=SLU7 PE=1 SV=2,0.3866,0.2005,NA,NA,NA,NA
NDUA4_HUMAN_O00483,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1,0.0536,NA,NA,0.0697,NA,NA
CPMD8_HUMAN_Q8IZJ3,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens GN=CPAMD8 PE=1 SV=2,NA,NA,0.024,NA,NA,NA
DNLI3_HUMAN_P49916,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2,NA,NA,NA,NA,NA,NA
P2Y12_HUMAN_Q9H244,P2Y purinoceptor 12 OS=Homo sapiens GN=P2RY12 PE=1 SV=1,0.2633,0.3183,NA,NA,NA,NA
CCD57_HUMAN_Q2TAC2,Coiled-coil domain-containing protein 57 OS=Homo sapiens GN=CCDC57 PE=1 SV=2,NA,0.0718,NA,NA,NA,NA
MET16_HUMAN_Q86W50,Methyltransferase-like protein 16 OS=Homo sapiens GN=METTL16 PE=1 SV=2,NA,NA,NA,NA,0.0155,0.4451
PIBF1_HUMAN_Q8WXW3,Progesterone-induced-blocking factor 1 OS=Homo sapiens GN=PIBF1 PE=1 SV=2,0.5644,NA,NA,NA,NA,NA
RABL3_HUMAN_Q5HYI8,Rab-like protein 3 OS=Homo sapiens GN=RABL3 PE=1 SV=1,NA,NA,NA,NA,0.1379,NA
MICA1_HUMAN_Q8TDZ2,[F-actin]-methionine sulfoxide oxidase MICAL1 OS=Homo sapiens GN=MICAL1 PE=1 SV=2,NA,0.1097,NA,0.0662,0.2109,NA
TRIP6_HUMAN_Q15654,Thyroid receptor-interacting protein 6 OS=Homo sapiens GN=TRIP6 PE=1 SV=3,NA,NA,0.1041,0.0566,NA,NA
Q68DW7_HUMAN_Q68DW7,Cohesin subunit SA-1 OS=Homo sapiens GN=DKFZp781D1416 PE=1 SV=1,0.3655,NA,NA,NA,0.1632,NA
BCAS3_HUMAN_Q9H6U6,Breast carcinoma-amplified sequence 3 OS=Homo sapiens GN=BCAS3 PE=1 SV=3,NA,0.5397,NA,NA,NA,0.1736
CXAR_HUMAN_P78310,Coxsackievirus and adenovirus receptor OS=Homo sapiens GN=CXADR PE=1 SV=1,NA,0.138,NA,NA,NA,NA
KCD12_HUMAN_Q96CX2,BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1,NA,NA,0.0356,NA,NA,NA
MFN1_HUMAN_Q8IWA4,Mitofusin-1 OS=Homo sapiens GN=MFN1 PE=1 SV=2,NA,0.1311,NA,NA,NA,0.5728
ANRA2_HUMAN_Q9H9E1,Ankyrin repeat family A protein 2 OS=Homo sapiens GN=ANKRA2 PE=1 SV=1,6.4289,5.197,NA,NA,NA,NA
K7ES61_HUMAN_K7ES61,39S ribosomal protein L4_ mitochondrial (Fragment) OS=Homo sapiens GN=MRPL4 PE=1 SV=1,0.1842,NA,NA,NA,NA,0.1458
KDM1B_HUMAN_Q8NB78,Lysine-specific histone demethylase 1B OS=Homo sapiens GN=KDM1B PE=1 SV=3,NA,NA,NA,0.0795,NA,NA
SSH2_HUMAN_Q76I76,Protein phosphatase Slingshot homolog 2 OS=Homo sapiens GN=SSH2 PE=1 SV=1,NA,NA,NA,0.3888,NA,NA
F6T1Q0_HUMAN_F6T1Q0,2'_5'-phosphodiesterase 12 OS=Homo sapiens GN=PDE12 PE=1 SV=1,0.0875,NA,NA,NA,NA,NA
ZN75C_HUMAN_Q92670,Putative zinc finger protein 75C OS=Homo sapiens GN=ZNF75CP PE=5 SV=2,NA,NA,NA,0.5309,NA,0.6584
H7BYN4_HUMAN_H7BYN4,Kinesin-like protein OS=Homo sapiens GN=KIF23 PE=1 SV=1,NA,NA,0.1643,NA,NA,0.6429
CFA57_HUMAN_Q96MR6,Cilia- and flagella-associated protein 57 OS=Homo sapiens GN=CFAP57 PE=2 SV=3,NA,0.8403,NA,NA,NA,0.7206
PCH2_HUMAN_Q15645,Pachytene checkpoint protein 2 homolog OS=Homo sapiens GN=TRIP13 PE=1 SV=2,NA,0.2698,NA,0.1411,NA,NA
DHYS_HUMAN_P49366,Deoxyhypusine synthase OS=Homo sapiens GN=DHPS PE=1 SV=1,NA,NA,0.2072,NA,NA,0.0639
F120B_HUMAN_Q96EK7,Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens GN=FAM120B PE=1 SV=1,NA,0.4351,NA,NA,0.2644,NA
NSF_HUMAN_P46459,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3,1.3797,NA,1.286,NA,NA,0.8742
TE2IP_HUMAN_Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens GN=TERF2IP PE=1 SV=1,NA,NA,NA,NA,NA,NA
FKBP2_HUMAN_P26885,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens GN=FKBP2 PE=1 SV=2,NA,NA,NA,0.1025,NA,NA
A0A087X0S5_HUMAN_A0A087X0S5,Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=1,NA,NA,0.4477,NA,NA,NA
PCBP2_HUMAN_Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,NA,NA,NA,NA,NA,3.0922
PRS6A_HUMAN_P17980,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,NA,NA,1.553,1.4166,NA,NA
R9WNI0_HUMAN_R9WNI0,Fragile X mental retardation 1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,NA,NA,0.0313,0.0547,NA,NA
UBP6_HUMAN_P35125,Ubiquitin carboxyl-terminal hydrolase 6 OS=Homo sapiens GN=USP6 PE=1 SV=2,NA,NA,NA,NA,0.3859,0.5999
MLH3_HUMAN_Q9UHC1,DNA mismatch repair protein Mlh3 OS=Homo sapiens GN=MLH3 PE=1 SV=3,3.3145,NA,NA,NA,0.2823,0.054
F8VYY9_HUMAN_F8VYY9,5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens GN=PRKAG1 PE=1 SV=1,0.0419,NA,0.2443,NA,NA,NA
A6PVH9_HUMAN_A6PVH9,Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1,0.6701,0.5954,NA,NA,0.4671,NA
MADD_HUMAN_Q8WXG6,MAP kinase-activating death domain protein OS=Homo sapiens GN=MADD PE=1 SV=2,NA,0.8192,NA,NA,0.8947,0.097
APC7_HUMAN_Q9UJX3,Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 PE=1 SV=4,NA,NA,NA,NA,NA,NA
1B07_HUMAN_P01889,HLA class I histocompatibility antigen_ B-7 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=3,0.5349,0.4704,0.3464,NA,NA,NA
SMAG1_HUMAN_Q9UPU9,Protein Smaug homolog 1 OS=Homo sapiens GN=SAMD4A PE=1 SV=3,NA,0.0217,NA,NA,NA,0.0513
H7BZL0_HUMAN_H7BZL0,MKI67 FHA domain-interacting nucleolar phosphoprotein (Fragment) OS=Homo sapiens GN=NIFK PE=1 SV=1,0.0295,NA,NA,NA,NA,NA
D6RA40_HUMAN_D6RA40,Microtubule-associated protein 1B (Fragment) OS=Homo sapiens GN=MAP1B PE=1 SV=1,NA,NA,0.5423,NA,NA,NA
I3L3E4_HUMAN_I3L3E4,Charged multivesicular body protein 6 (Fragment) OS=Homo sapiens GN=CHMP6 PE=1 SV=1,NA,0.0776,NA,NA,NA,NA
F5H6P7_HUMAN_F5H6P7,Protein mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=4 SV=1,0.028,NA,NA,NA,NA,0.0528
H0YLR3_HUMAN_H0YLR3,U2 small nuclear ribonucleoprotein A' (Fragment) OS=Homo sapiens GN=SNRPA1 PE=1 SV=1,0.109,NA,0.1238,NA,NA,NA
H0YBJ4_HUMAN_H0YBJ4,Matrilin-2 (Fragment) OS=Homo sapiens GN=MATN2 PE=1 SV=1,0.1541,NA,NA,NA,1.1925,NA
KPCB_HUMAN_P05771,Protein kinase C beta type OS=Homo sapiens GN=PRKCB PE=1 SV=4,NA,NA,NA,NA,NA,0.1149
PPP6_HUMAN_O00743,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1,0.1469,NA,NA,NA,0.0188,NA
GCC1_HUMAN_Q96CN9,GRIP and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=GCC1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
ATX2_HUMAN_Q99700,Ataxin-2 OS=Homo sapiens GN=ATXN2 PE=1 SV=2,NA,NA,NA,0.6039,NA,NA
UBAP1_HUMAN_Q9NZ09,Ubiquitin-associated protein 1 OS=Homo sapiens GN=UBAP1 PE=1 SV=1,NA,NA,NA,NA,NA,0.0567
MARH5_HUMAN_Q9NX47,E3 ubiquitin-protein ligase MARCH5 OS=Homo sapiens GN=MARCH5 PE=1 SV=1,NA,NA,NA,NA,NA,NA
SLIT1_HUMAN_O75093,Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=2 SV=4,NA,NA,NA,NA,1.0921,NA
MP2K1_HUMAN_Q02750,Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
E9PKD2_HUMAN_E9PKD2,Nuclear pore complex protein Nup214 (Fragment) OS=Homo sapiens GN=NUP214 PE=1 SV=1,NA,NA,0.0259,0.0221,NA,NA
